Département;Tarif 1;Tarif 2;Tarif 3;Tarif 4;Tarif 5;Tarif 6;Tarif 7;Tarif 8;Tarif 9;Tarif 10;Tarif 11;Tarif 12;Tarif 13;Tarif 14
1;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
2;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
3;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.45;0.3;0.29;0.23;0.21
4;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
4;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
5;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
5;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
6;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
6;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
7;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
8;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
9;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
9;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
10;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
11;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
12;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
13;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
14;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
15;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
16;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
17;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
17;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
18;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
19;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
20;87.55;93.97;99.23;103.89;107.39;110.3;113.22;116.14;119.06;1.37;0.94;0.94;0.74;0.66
21;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
22;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
22;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
23;27.78;29.82;31.49;32.96;34.08;35.02;35.9;36.86;37.8;0.42;0.32;0.3;0.24;0.22
24;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
25;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
26;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
27;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
28;21.87;23.51;24.81;25.96;26.84;27.58;28.3;29.03;29.78;0.33;0.23;0.24;0.21;0.17
29;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
29;39.62;42.56;44.91;47.02;48.62;49.9;51.23;52.58;53.91;0.63;0.45;0.42;0.35;0.3
30;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
31;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
32;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
33;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
34;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
35;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.31;0.21;0.22;0.18;0.15
36;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
37;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.34;0.21;0.22;0.18;0.15
38;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
38;47.5;51.01;53.85;56.36;58.29;59.87;61.46;63.04;64.64;0.73;0.52;0.53;0.39;0.36
39;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
40;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
41;21.87;23.51;24.81;25.96;26.84;27.58;28.3;29.03;29.78;0.33;0.23;0.24;0.21;0.17
42;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
43;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
44;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
45;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
46;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
47;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
48;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
49;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.31;0.21;0.22;0.18;0.15
50;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
50;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
51;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
52;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
53;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
54;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
55;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
56;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
56;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
57;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
58;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
59;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
60;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
61;21.87;23.51;24.81;25.96;26.84;27.58;28.3;29.03;29.78;0.33;0.23;0.24;0.21;0.17
62;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
63;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
64;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
64;47.5;51.01;53.85;56.36;58.29;59.87;61.46;63.04;64.64;0.73;0.52;0.53;0.39;0.36
65;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
65;47.5;51.01;53.85;56.36;58.29;59.87;61.46;63.04;64.64;0.73;0.52;0.53;0.39;0.36
66;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
66;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
67;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
68;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
69;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
70;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
71;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
72;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.31;0.21;0.22;0.18;0.15
73;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
73;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
74;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
74;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
75;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
76;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
77;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
78;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
79;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.31;0.21;0.22;0.18;0.15
80;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
81;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
82;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
83;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
84;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
85;19.89;21.36;22.56;23.59;24.41;25.08;25.72;26.39;27.06;0.34;0.21;0.22;0.18;0.15
85;24.86;26.7;28.2;29.49;30.5;31.34;32.16;32.98;33.85;0.41;0.27;0.28;0.23;0.2
86;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
87;27.78;29.82;31.49;32.96;34.08;35.02;35.9;36.86;37.8;0.42;0.32;0.3;0.24;0.22
88;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
89;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
90;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
91;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
92;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
93;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
94;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
95;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
